imf1,imf2,imf3,imf4,imf5,imf6,imf7,imf8,imf9,imf10,imf11,res,Temperature,humidity,Liquid,Wind Speed,holiday,power
14.92649017,24.8098807,70.76983826,38.41221114,-4.03080838,-61.74523335,-19.47120559,7.54571815,-2.01428427,-33.81071427,-26.21186638,1132.974774,25.81707153,0.018851262,0.024963379,7.028678289,0,1142.1548
-12.65178953,28.11925985,54.2742963,33.16991937,-5.040892325,-59.67285687,-19.46937481,7.605540661,-2.042479819,-33.81981631,-26.21378495,1132.975378,25.25164185,0.018554052,0.021995544,7.178384138,0,1097.2334
0.999423583,11.15643341,39.33262916,27.65123226,-6.036168289,-57.5101258,-19.46520752,7.665429375,-2.070634238,-33.82889329,-26.21570186,1132.975983,24.77102051,0.018256664,0.018157959,7.502368873,0,1074.6544
8.632986348,-9.849894455,23.81287702,21.9085224,-7.007459083,-55.2616065,-19.45868668,7.725382501,-2.098747376,-33.83794521,-26.21761711,1132.976588,24.37035522,0.017967148,0.013534546,7.758983977,0,1041.3244
-0.127944381,-19.51649262,5.042253078,15.99416241,-7.945587519,-52.93186532,-19.44979647,7.785399436,-2.126819079,-33.84697205,-26.21953069,1132.977193,24.056604,0.017792039,0.009838104,7.965630479,0,999.634
-4.3702787,-18.35031748,-18.97297501,9.960524876,-8.841376408,-50.52546862,-19.43852197,7.845480495,-2.154849197,-33.85597381,-26.22144261,1132.977798,23.82387695,0.01765461,0.008983612,8.157669765,0,968.0526
-3.960794031,-10.28834543,-47.01065224,3.859982413,-9.685648562,-48.04698277,-19.42484853,7.905626272,-2.182837578,-33.86495049,-26.22335286,1132.978404,23.62713013,0.017540066,0.006481171,8.287432557,0,944.0556
1.186573011,1.681643145,-75.14976045,-2.255092381,-10.46922679,-45.50097412,-19.40876156,7.965837413,-2.210784068,-33.87390206,-26.22526145,1132.979009,23.47731934,0.017448492,0.003055573,8.476266655,0,928.7193
-1.259547923,12.86135733,-98.90473719,-8.332326901,-11.18293391,-42.89200904,-19.3902465,8.026114578,-2.238688518,-33.88282854,-26.22716838,1132.979615,23.36953125,0.017387351,0.001541615,8.692402541,0,909.5566
-0.19744505,15.69643331,-113.7931293,-14.31934855,-11.81759272,-40.22465389,-19.36928877,8.08645843,-2.266550774,-33.8917299,-26.22907364,1132.980221,23.28151855,0.01732612,0.001173019,8.831439285,0,894.6543
5.672900277,5.786008889,-116.117592,-20.16378471,-12.36403012,-37.50347094,-19.34587379,8.146869629,-2.294370684,-33.90060615,-26.23097723,1132.980827,23.20754395,0.017264875,0.002643585,8.900691882,0,884.6659
-5.59784779,-11.40038483,-106.0637461,-25.80743606,-12.81312203,-34.73297344,-19.319987,8.207348839,-2.322148098,-33.90945727,-26.23287916,1132.981433,23.22445068,0.017218927,0.007364273,9.098555343,0,862.9888
-5.731827989,-20.5126235,-85.28140969,-31.16879632,-13.1558794,-31.91753962,-19.29161382,8.26789672,-2.349882862,-33.91828327,-26.23477942,1132.982039,24.58547363,0.017661339,0.0105896,12.10672122,0,871.6873
